RHQ,SUO,ADJT,OPSO,LOGSO,TRGO
A COY HQ,COY COMD,COY 2IC,CSM,TRGWO,CQMS
1,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
2,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
3,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
B COY HQ,COY COMD,COY 2IC,CSM,TRGWO,CQMS
4,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
5,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
6,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
C COY HQ,COY COMD,COY 2IC,CSM,TRGWO,CQMS
7,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
8,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
9,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
D COY HQ,COY COMD,COY 2IC,CSM,TRGWO,CQMS
10,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
11,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
12,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
SPT COY HQ,COY COMD,COY 2IC,CSM,TRGWO,CQMS
QM,QM,RQMS,SGT,CPL
MED,RMO,PL SGT,SECT COMD,SECT 2IC,RECRUIT
SIG,RSO,PL SGT,SECT COMD,SECT 2IC,RECRUIT
MEDIA,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
X,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT
PNR,PL COMD,PL SGT,SECT COMD,SECT 2IC,RECRUIT